Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
ObjectSecurity<T>,0,0,0,0,0,0,36,0,1.2,0,0,0,37
Stream,3.4,0,3.66666666666667,0,0,0,24.8,0,1.9,2.5,0,0,37
MethodReturnMessageWrapper,0,0,0,0,0,0,35.2,0,1.15,0,1.4,0,37
EncodingNLS,17.4,0,4,0,0,0,14,0,0,0,0,0,36
DBNull,0,0,0,0,0,0,35.2,0,1.1,0,0,0,36
CryptoStream,7.6,0,2.66666666666667,3.655,0,0,20,1.2,0,0,0,0,36
XMLUtil,15.2,0,0,3.1575,0,6.33333333333333,10,0,0,0,0,0,36
FileInfo,0,0,0,0,0,0,35.2,0,1.6,0,0,0,36
ReturnMessage,2.6,0,0,0,0,0,30.4,1.3,1.25,0,1.4,0,36
PropertyInfo,1.2,0,0,0,0,0,33.6,0,1.55,0,0,0,36
IntPtr,0,0,0,0,0,0,35.2,0,1.3,0,0,0,36
RuntimeParameterInfo,7.4,0,0,2.16,2,1.16666666666667,20.8,0,1.3,0,0,0,36
FileIOAccess,10,0,0,0,0,0,23.6,0,1.15,0,0,0,35
LogicalCallContext,8.4,0,0,0,0,0,25.6,0,1.25,0,0,0,35
DecoderNLS,12.2,0,3,0,0,0,20,0,0,0,0,0,35
SoapServices,10.4,0,0,0,0,1.16666666666667,19.2,1.1,1.5,0,0,0,35
SymbolMethod,0,0,0,0,0,0,33.8,0,1.05,0,0,0,34
Contract,2.4,0,0,0,0,0,30.4,0,1.3,0,0,0,34
UIntPtr,0,0,0,0,0,0,33.6,0,1.2,0,0,0,34
RegionInfo,0,0,2.66666666666667,0,0,0,28.8,0,1.2,0,1.4,0,34
BitConverter,5.6,0,1.66666666666667,0,0,0,25.6,0,1.35,0,0,0,34
__Error,6,0,5,1.43,0,2.5,19.2,0,0,0,0,0,34
SynchronizationAttribute,7.4,1.33333333333333,0,0,0,0,22,1.5,1.25,0,0,0,33
Parser,10.2,0,4,3.7025,0,2,12.8,0,0,0,0,0,33
EventWaitHandleSecurity,1.2,0,0,0,0,0,31.6,0,1.1,0,0,0,33
CodeAccessSecurityEngine,7.2,0,0,0,0,0,23.6,0,1.6,0,0,0,33
MutexSecurity,1.2,0,0,0,0,0,31.6,0,1.1,0,0,0,33
EncoderNLS,12.2,0,3,0,0,0,18.4,0,0,0,0,0,33
StackFrame,1.8,0,0,0,0,0,30.4,0,1.1,0,0,0,33
NativeObjectSecurity,8.2,0,0,1.5575,0,3.33333333333333,20,0,0,0,0,0,33
__ExceptionInfo,1.6,0,0,0,0,0,28.8,2.3,1.15,0,0,0,33
FieldOnTypeBuilderInstantiation,0,0,0,0,0,0,32,0,1.1,0,0,0,33
BinaryWriter,1.8,0,0,0,0,0,28.2,0,1.45,0,0,0,32
RSACryptoServiceProvider,1.4,0,0,0,0,0,28.2,0,1.85,0,0,0,32
ActivationContext,1.4,0,1.66666666666667,0,0,0,25.6,0,1.45,1.5,1.1,0,32
CancellationTokenSource,3.4,0,0,0,0,0,25.2,1.5,1.25,0,0,0,31
RegistrySecurity,0,0,0,0,0,0,30,0,1.05,0,0,0,31
RemotingConfiguration,0,0,0,0,0,0,30.4,0,1.35,0,0,0,31
ConcurrentStack<T>,3.4,0,1.33333333333333,0,0,0,25.6,0,1.55,0,0,0,31
CancellationToken,1.4,0,0,0,0,0,28.8,0,1.1,0,0,0,31
ReadObjectInfo,6,0,0,1.1525,0,0,20.4,1.9,1.2,0,0,0,31
RemotingProxy,9.8,0,0,1.485,1.2,1.5,16.8,0,0,0,0,0,31
__DTString,10.6,0,0,0,0,0,17.6,0,1.25,0,0,0,31
MethodCallMessageWrapper,0,0,0,0,0,0,30.4,0,0,0,1.2,0,31
BufferedStream,12.8,0,2.66666666666667,0,0,0,14.2,0,0,0,0,0,31
RuntimeEventInfo,0,0,0,0,0,0,28,1.2,1.2,0,0,0,30
PasswordDeriveBytes,2.6,0,1.33333333333333,0,0,0,23.4,1.1,1.15,0,0,0,30
Normalization,3.2,0,2.66666666666667,0,0,0,21.6,1.6,1.05,0,0,0,30
CryptoKeySecurity,1.2,0,0,0,0,0,28.8,0,0,0,0,0,30
MetadataToken,0,0,0,0,0,0,28.8,0,0,0,1.4,0,30
ConstructorInfo,1.2,0,0,0,0,0,28.8,0,0,0,0,0,30
BitArray,3.6,0,2,0,0,0,21.6,0,1.3,0,0,0,30
StrongNameMembershipCondition,14.8,0,0,0,0,0,14,0,1.05,0,0,0,30
PermissionListSet,8.6,0,0,0,0,0,18.8,0,1.3,0,0,0,29
SecureString,2.6,0,0,0,0,0,24.4,0,1.5,0,0,0,29
CharUnicodeInfo,2.4,0,0,0,0,0,24,1.4,1.2,0,0,0,29
NTAccount,7.4,0,3.66666666666667,2.7025,1.66666666666667,2,10.8,0,0,0,0,0,29
CryptoAPITransform,7.6,0,3.33333333333333,1.24,0,0,17.6,0,0,0,0,0,29
LongPathDirectory,13.4,3.33333333333333,1.66666666666667,3.0225,2.86666666666667,1.16666666666667,2.8,0,0,0,0,0,29
HashAlgorithm,5,0,5,0,0,0,19.2,0,0,0,0,0,29
PrincipalPermission,14.2,0,0,1.7775,0,0,11.6,0,0,0,0,0,29
FormatterServices,11.6,0,3.33333333333333,1.015,0,0,11.2,0,1.25,0,0,0,29
DynamicILInfo,0,0,0,0,0,0,28.8,0,1.1,0,0,0,29
Tuple<T1,T2,T3,T4,T5,T6,T7,TRest>,4,0,0,1.6375,0,0,22.6,0,0,0,0,0,29
DSACryptoServiceProvider,1.6,0,0,0,0,0,25,0,1.6,0,0,0,29
EventInfo,1.2,0,0,0,0,0,27.2,0,1.25,0,0,0,29
StrongNameIdentityPermission,15.2,0,0,0,0,1.16666666666667,11.2,0,0,0,0,0,29
GCHandle,0,0,0,0,0,0,27.2,0,1.4,0,0,0,28
SiteString,8.2,0,1.66666666666667,1.085,0,0,17.6,0,0,0,0,0,28
FormatterConverter,0,0,0,0,0,0,28.8,0,0,0,0,0,28
ListDictionaryInternal,6,0,2.66666666666667,0,0,0,17.6,0,0,1.5,0,0,28
Overlapped,0,0,0,0,0,0,27.2,0,1.05,0,0,0,28
StackTrace,6,0,0,1.5875,1.26666666666667,0,18.8,0,0,0,0,0,28
SecurityContext,2.8,0,0,0,0,0,24,0,1.6,0,0,0,28
ApplicationTrust,5.8,0,0,0,0,0,22.4,0,0,0,0,0,28
TaiwanLunisolarCalendar,0,0,0,0,0,0,27.2,1.3,0,0,0,0,28
Lease,5.8,0,0,0,0,0,17.6,1.1,1.45,1.5,0,0,28
IConvertibleContract,0,0,0,0,0,0,28.8,0,0,0,0,0,28
CommonObjectSecurity,8.8,0,2,4.4875,0,1.16666666666667,10.4,0,0,0,0,0,28
Privilege,7,0,4.66666666666667,1.085,0,1.16666666666667,8.8,4.2,0,0,0,0,28
ErrorMessage,0,0,0,0,0,0,27.2,0,0,0,1.2,0,28
SoapTypeAttribute,0,0,0,0,0,0,27.2,0,0,0,0,0,27
UIPermission,4,0,0,0,0,0,22.4,0,1.05,0,0,0,27
SerializationFieldInfo,0,0,0,0,0,0,27,0,0,0,0,0,27
IDictionaryContract,0,0,0,0,0,0,27.2,0,0,0,0,0,27
IDictionaryContract<TKey,TValue>,0,0,0,0,0,0,27.2,0,0,0,0,0,27
